User,Comment,Date,Reply
https://www.tiktok.com/@rubegoldburgh,Why the fuck is the mayo in the ketchup bottle?,Jun-15,7357
https://www.tiktok.com/@bmaperkins,"For the love of God, leave the egg off the burger",Jun-15,1655
https://www.tiktok.com/@itz__haunter,,Jun-15,719
https://www.tiktok.com/@john.boy2836,It’s giving,Jul-14,164
https://www.tiktok.com/@anera5703,Worse burger ever.,Jun-15,76
https://www.tiktok.com/@ssviperfl,Who the heck puts tons of mustard on a burger?,Jun-15,66
https://www.tiktok.com/@christrademarke,That is a work of art. I’ll take one with extra pickles,Jun-15,49
https://www.tiktok.com/@cgon87,This is the type of love and care that SpongeBob puts into every Krabby Patty,Jun-16,41
https://www.tiktok.com/@nerdymark,,Jun-15,31
https://www.tiktok.com/@electrocardiacpulsesenor,“Ah burger”,Jun-22,28
https://www.tiktok.com/@mo0nnnnnn,i don’t understand how this food is considered “unhealthy” when theres like good amount of veggies on it,08-May,23
https://www.tiktok.com/@marcus_inq,Looks nice but I never understood egg in a burger...,Jun-19,17
https://www.tiktok.com/@tunnyo07,Tomato should not be on a burger,Jul-26,15
https://www.tiktok.com/@user_1997663,Where’s the ketchup? Are u kidding me?,Jun-16,15
https://www.tiktok.com/@tomiboy563,Where did the onion go?,Jun-15,13
https://www.tiktok.com/@tenguski,"Serious question, why would you cook the egg before the burger?",Jun-16,12
https://www.tiktok.com/@mutt33433,,Jun-15,12
https://www.tiktok.com/@galaxhd3,Is that… is that a Krabby Patty,Jun-15,11
https://www.tiktok.com/@ralph6329,lettuce and tomato don't belong on a burger,Jun-16,11
https://www.tiktok.com/@thegoonfather23,sorry but pickles on after cheese melt,Jun-15,11
https://www.tiktok.com/@moonforgestoneworks,Is that a burger or a mustard sandwich?,Jun-15,10
https://www.tiktok.com/@funny_funnyhow,You lost me at hot pickle slices 🤢,Jun-15,8
https://www.tiktok.com/@svensvenson22,Mayo on a burger is disgusting. Where the ketchup at?,Jun-15,7
https://www.tiktok.com/@grizzle.690,The pickle is unnecessary,Jun-15,7
https://www.tiktok.com/@grinch728,Bro is it just me… or is this whole burger upside down?,Jun-15,6
https://www.tiktok.com/@mastroman86,If you’re going to put egg on the burger you can’t break the yolk.,Jun-15,6
https://www.tiktok.com/@timmythetuner,A burger takes longer to cook then an EGG,Jun-15,4
https://www.tiktok.com/@aab65257,barely seasoned,Jun-15,4
https://www.tiktok.com/@stickerburrs12,bravo,Jun-15,4
https://www.tiktok.com/@leoaerts,everything was okay until the pickles,08-May,4
https://www.tiktok.com/@boris.murillo2,la ciencia del huevito es que se reviente la yemita 😒😒😒,Jun-17,4
https://www.tiktok.com/@todd_grillman3,Oh there's so much wrong here,Jun-15,4
https://www.tiktok.com/@3nagata,Perfect 👌,Jun-15,4
